weld_id,x,y,z,nx,ny,nz,ox,oy,oz,ow
0,0.100945,-1,-0.558925,0,0,-1,0,0.382683,0,0.92388
0,0.100945,-0.984375,-0.558925,0,0,-1,0,0.382683,0,0.92388
0,0.100945,-0.96875,-0.558925,0,0,-1,0,0.382683,0,0.92388
0,0.100945,-0.953125,-0.558925,0,0,-1,0,0.382683,0,0.92388
0,0.100945,-0.9375,-0.558925,0,0,-1,0,0.382683,0,0.92388
0,0.100945,-0.921875,-0.558925,0,0,-1,0,0.382683,0,0.92388
0,0.100945,-0.90625,-0.558925,0,0,-1,0,0.382683,0,0.92388
0,0.100945,-0.890625,-0.558925,0,0,-1,0,0.382683,0,0.92388
0,0.100945,-0.875,-0.558925,0,0,-1,0,0.382683,0,0.92388
0,0.100945,-0.859375,-0.558925,0,0,-1,0,0.382683,0,0.92388
0,0.100945,-0.84375,-0.558925,0,0,-1,0,0.382683,0,0.92388
0,0.100945,-0.828125,-0.558925,0,0,-1,0,0.382683,0,0.92388
0,0.100945,-0.8125,-0.558925,0,0,-1,0,0.382683,0,0.92388
0,0.100945,-0.796875,-0.558925,0,0,-1,0,0.382683,0,0.92388
0,0.100945,-0.78125,-0.558924,0,0,-1,0,0.382683,0,0.92388
0,0.100945,-0.765625,-0.558924,0,0,-1,0,0.382683,0,0.92388
0,0.100945,-0.75,-0.558924,0,0,-1,0,0.382683,0,0.92388
0,0.100945,-0.734375,-0.558924,0,0,-1,0,0.382683,0,0.92388
0,0.100946,-0.71875,-0.558924,0,0,-1,0,0.382683,0,0.92388
0,0.100946,-0.703125,-0.558924,0,0,-1,0,0.382683,0,0.92388
0,0.100946,-0.6875,-0.558924,0,0,-1,0,0.382683,0,0.92388
0,0.100946,-0.671875,-0.558924,0,0,-1,0,0.382683,0,0.92388
0,0.100946,-0.65625,-0.558924,0,0,-1,0,0.382683,0,0.92388
0,0.100946,-0.640625,-0.558924,0,0,-1,0,0.382683,0,0.92388
0,0.100946,-0.625,-0.558924,0,0,-1,0,0.382683,0,0.92388
0,0.100946,-0.609375,-0.558924,0,0,-1,0,0.382683,0,0.92388
0,0.100946,-0.59375,-0.558924,0,0,-1,0,0.382683,0,0.92388
0,0.100946,-0.578125,-0.558924,0,0,-1,0,0.382683,0,0.92388
0,0.100946,-0.5625,-0.558924,0,0,-1,0,0.382683,0,0.92388
0,0.100946,-0.546875,-0.558923,0,0,-1,0,0.382683,0,0.92388
0,0.100946,-0.53125,-0.558923,0,0,-1,0,0.382683,0,0.92388
0,0.100946,-0.515625,-0.558923,0,0,-1,0,0.382683,0,0.92388
0,0.100946,-0.5,-0.558923,0,0,-1,0,0.382683,0,0.92388
0,0.100946,-0.484375,-0.558923,0,0,-1,0,0.382683,0,0.92388
0,0.100946,-0.46875,-0.558923,0,0,-1,0,0.382683,0,0.92388
0,0.100946,-0.453125,-0.558923,0,0,-1,0,0.382683,0,0.92388
0,0.100946,-0.4375,-0.558923,0,0,-1,0,0.382683,0,0.92388
0,0.100946,-0.421875,-0.558923,0,0,-1,0,0.382683,0,0.92388
0,0.100946,-0.40625,-0.558923,0,0,-1,0,0.382683,0,0.92388
0,0.100946,-0.390625,-0.558923,0,0,-1,0,0.382683,0,0.92388
0,0.100946,-0.375,-0.558923,0,0,-1,0,0.382683,0,0.92388
0,0.100946,-0.359375,-0.558923,0,0,-1,0,0.382683,0,0.92388
0,0.100946,-0.34375,-0.558923,0,0,-1,0,0.382683,0,0.92388
0,0.100946,-0.328125,-0.558923,0,0,-1,0,0.382683,0,0.92388
0,0.100946,-0.3125,-0.558923,0,0,-1,0,0.382683,0,0.92388
0,0.100946,-0.296875,-0.558922,0,0,-1,0,0.382683,0,0.92388
0,0.100946,-0.28125,-0.558922,0,0,-1,0,0.382683,0,0.92388
0,0.100946,-0.265625,-0.558922,0,0,-1,0,0.382683,0,0.92388
0,0.100946,-0.25,-0.558922,0,0,-1,0,0.382683,0,0.92388
0,0.100946,-0.234375,-0.558922,0,0,-1,0,0.382683,0,0.92388
0,0.100946,-0.21875,-0.558922,0,0,-1,0,0.382683,0,0.92388
0,0.100946,-0.203125,-0.558922,0,0,-1,0,0.382683,0,0.92388
0,0.100946,-0.1875,-0.558922,0,0,-1,0,0.382683,0,0.92388
0,0.100946,-0.171875,-0.558922,0,0,-1,0,0.382683,0,0.92388
0,0.100946,-0.15625,-0.558922,0,0,-1,0,0.382683,0,0.92388
0,0.100946,-0.140625,-0.558922,0,0,-1,0,0.382683,0,0.92388
0,0.100946,-0.125,-0.558922,0,0,-1,0,0.382683,0,0.92388
0,0.100946,-0.109375,-0.558922,0,0,-1,0,0.382683,0,0.92388
0,0.100946,-0.09375,-0.558922,0,0,-1,0,0.382683,0,0.92388
0,0.100946,-0.078125,-0.558922,0,0,-1,0,0.382683,0,0.92388
