3,0,2
2.95442,0.520945,2
2.81908,1.02606,2
2.59808,1.5,2
2.29813,1.92836,2
1.92836,2.29813,2
1.5,2.59808,2
1.02606,2.81908,2
0.520945,2.95442,2
0,3,2
-0.520945,2.95442,2
-1.02606,2.81908,2
-1.5,2.59808,2
-1.92836,2.29813,2
-2.29813,1.92836,2
-2.59808,1.5,2
-2.81908,1.02606,2
-2.95442,0.520945,2
-3,0,2
-2.95442,-0.520945,2
-2.81908,-1.02606,2
-2.59808,-1.5,2
-2.29813,-1.92836,2
-1.92836,-2.29813,2
-1.5,-2.59808,2
-1.02606,-2.81908,2
-0.520945,-2.95442,2
-0,-3,2
0.520945,-2.95442,2
1.02606,-2.81908,2
1.5,-2.59808,2
1.92836,-2.29813,2
2.29813,-1.92836,2
2.59808,-1.5,2
2.81908,-1.02606,2
2.95442,-0.520945,2
