weld_id,x,y,z,nx,ny,nz,ox,oy,oz,ow
0,0.100995,0.100141,-0.588429,0,1,0,0,0,0.382683,0.92388
0,0.100995,0.100141,-0.583429,0,1,0,0,0,0.382683,0.92388
0,0.100995,0.100141,-0.578429,0,1,0,0,0,0.382683,0.92388
0,0.100994,0.100141,-0.573429,0,1,0,0,0,0.382683,0.92388
0,0.100994,0.100141,-0.568429,0,1,0,0,0,0.382683,0.92388
0,0.100994,0.100141,-0.563429,0,1,0,0,0,0.382683,0.92388
0,0.100994,0.100141,-0.558429,0,1,0,0,0,0.382683,0.92388
0,0.100994,0.10014,-0.553429,0,1,0,0,0,0.382683,0.92388
0,0.100993,0.10014,-0.548429,0,1,0,0,0,0.382683,0.92388
0,0.100993,0.10014,-0.543429,0,1,0,0,0,0.382683,0.92388
0,0.100993,0.10014,-0.538429,0,1,0,0,0,0.382683,0.92388
0,0.100993,0.10014,-0.533429,0,1,0,0,0,0.382683,0.92388
0,0.100993,0.10014,-0.528429,0,1,0,0,0,0.382683,0.92388
0,0.100992,0.10014,-0.523429,0,1,0,0,0,0.382683,0.92388
0,0.100992,0.10014,-0.518429,0,1,0,0,0,0.382683,0.92388
0,0.100992,0.100139,-0.513429,0,1,0,0,0,0.382683,0.92388
0,0.100992,0.100139,-0.508429,0,1,0,0,0,0.382683,0.92388
0,0.100991,0.100139,-0.503429,0,1,0,0,0,0.382683,0.92388
0,0.100991,0.100139,-0.498429,0,1,0,0,0,0.382683,0.92388
0,0.100991,0.100139,-0.493429,0,1,0,0,0,0.382683,0.92388
0,0.100991,0.100139,-0.488429,0,1,0,0,0,0.382683,0.92388
0,0.100991,0.100139,-0.483429,0,1,0,0,0,0.382683,0.92388
0,0.10099,0.100139,-0.478429,0,1,0,0,0,0.382683,0.92388
0,0.10099,0.100138,-0.473429,0,1,0,0,0,0.382683,0.92388
0,0.10099,0.100138,-0.468429,0,1,0,0,0,0.382683,0.92388
0,0.10099,0.100138,-0.463429,0,1,0,0,0,0.382683,0.92388
0,0.100989,0.100138,-0.458429,0,1,0,0,0,0.382683,0.92388
0,0.100989,0.100138,-0.453429,0,1,0,0,0,0.382683,0.92388
0,0.100989,0.100138,-0.448429,0,1,0,0,0,0.382683,0.92388
0,0.100989,0.100138,-0.443429,0,1,0,0,0,0.382683,0.92388
0,0.100989,0.100138,-0.438429,0,1,0,0,0,0.382683,0.92388
0,0.100988,0.100137,-0.433429,0,1,0,0,0,0.382683,0.92388
0,0.100988,0.100137,-0.428429,0,1,0,0,0,0.382683,0.92388
0,0.100988,0.100137,-0.423429,0,1,0,0,0,0.382683,0.92388
0,0.100988,0.100137,-0.418429,0,1,0,0,0,0.382683,0.92388
0,0.100987,0.100137,-0.413429,0,1,0,0,0,0.382683,0.92388
0,0.100987,0.100137,-0.408429,0,1,0,0,0,0.382683,0.92388
0,0.100987,0.100137,-0.403429,0,1,0,0,0,0.382683,0.92388
0,0.100987,0.100137,-0.398429,0,1,0,0,0,0.382683,0.92388
0,0.100987,0.100136,-0.393429,0,1,0,0,0,0.382683,0.92388
0,0.100986,0.100136,-0.388429,0,1,0,0,0,0.382683,0.92388
0,0.100986,0.100136,-0.383429,0,1,0,0,0,0.382683,0.92388
0,0.100986,0.100136,-0.378429,0,1,0,0,0,0.382683,0.92388
0,0.100986,0.100136,-0.373429,0,1,0,0,0,0.382683,0.92388
0,0.100985,0.100136,-0.368429,0,1,0,0,0,0.382683,0.92388
0,0.100985,0.100136,-0.363429,0,1,0,0,0,0.382683,0.92388
0,0.100985,0.100136,-0.358429,0,1,0,0,0,0.382683,0.92388
0,0.100985,0.100135,-0.353429,0,1,0,0,0,0.382683,0.92388
0,0.100985,0.100135,-0.348429,0,1,0,0,0,0.382683,0.92388
0,0.100984,0.100135,-0.343429,0,1,0,0,0,0.382683,0.92388
0,0.100984,0.100135,-0.338429,0,1,0,0,0,0.382683,0.92388
0,0.100984,0.100135,-0.333429,0,1,0,0,0,0.382683,0.92388
0,0.100984,0.100135,-0.328429,0,1,0,0,0,0.382683,0.92388
