0,0,0
0.000220256,-0.000760138,0.00374742
-0.000276172,0.000541822,0.00334142
-0.000524011,0.000648014,0.00109634
0.000411145,0.000494798,0.00154896
-0.00187329,0.00105319,0.00232235
-0.00207147,0.000431775,0.00384097
-0.00167077,6.11629e-05,0.0045171
-0.0040268,1.50843e-05,0.00539616
-0.0178776,-0.00044075,0.00694102
-0.0294674,-0.0014305,0.00792566
-0.0289756,-0.00243355,0.00868746
-0.0269253,-0.00305138,0.00934298
-0.02893,-0.00279169,0.00962439
-0.0282475,-0.00351235,0.0106284
-0.0291762,-0.00448844,0.00948898
-0.029596,-0.00445222,0.00949645
-0.0296014,-0.00429352,0.00926922
-0.0297236,-0.00425386,0.00940363
-0.0294062,-0.00405802,0.00824197
-0.0295632,-0.00410947,0.000538207
-0.0298176,-0.00208594,0.000792017
-0.0305273,-0.00341406,0.00121493
-0.0274942,-0.00246407,0.00122373
0.00271135,-0.00544713,0.000770607
0.0126001,0.000664244,0.0006377
0.0115281,0.00544347,0.000634267
0.00588991,0.00633495,0.00071606
0.00333878,0.00744381,0.000769809
0.00424074,0.00757096,0.000752929
0.00286051,0.00902007,0.00076765
-8.49683e-06,0.00795189,0.00062409
-0.00205757,0.00314028,-0.000698373
-0.00170776,0.000273149,-0.00208754
-0.000428757,-0.000739558,0.00119216
-0.000524987,-0.000288795,0.00224211
