weld_id,x,y,z,nx,ny,nz,ox,oy,oz,ow
0,0.0256003,-0.249982,-0.212036,0,1,0,0,0,0.382683,0.92388
0,0.0255893,-0.249982,-0.207036,0,1,0,0,0,0.382683,0.92388
0,0.0255783,-0.249982,-0.202036,0,1,0,0,0,0.382683,0.92388
0,0.0255673,-0.249982,-0.197036,0,1,0,0,0,0.382683,0.92388
0,0.0255563,-0.249982,-0.192036,0,1,0,0,0,0.382683,0.92388
0,0.0255453,-0.249981,-0.187036,0,1,0,0,0,0.382683,0.92388
0,0.0255343,-0.249981,-0.182036,0,1,0,0,0,0.382683,0.92388
0,0.0255234,-0.249981,-0.177036,0,1,0,0,0,0.382683,0.92388
0,0.0255124,-0.249981,-0.172036,0,1,0,0,0,0.382683,0.92388
0,0.0255014,-0.249981,-0.167036,0,1,0,0,0,0.382683,0.92388
0,0.0254904,-0.249981,-0.162036,0,1,0,0,0,0.382683,0.92388
0,0.0254794,-0.249981,-0.157036,0,1,0,0,0,0.382683,0.92388
0,0.0254684,-0.249981,-0.152036,0,1,0,0,0,0.382683,0.92388
0,0.0254574,-0.249981,-0.147036,0,1,0,0,0,0.382683,0.92388
0,0.0254464,-0.249981,-0.142036,0,1,0,0,0,0.382683,0.92388
0,0.0254354,-0.249981,-0.137036,0,1,0,0,0,0.382683,0.92388
0,0.0254244,-0.249981,-0.132036,0,1,0,0,0,0.382683,0.92388
0,0.0254134,-0.249981,-0.127036,0,1,0,0,0,0.382683,0.92388
0,0.0254025,-0.249981,-0.122036,0,1,0,0,0,0.382683,0.92388
0,0.0253915,-0.249981,-0.117036,0,1,0,0,0,0.382683,0.92388
0,0.0253805,-0.249981,-0.112036,0,1,0,0,0,0.382683,0.92388
0,0.0253695,-0.249981,-0.107036,0,1,0,0,0,0.382683,0.92388
0,0.0253585,-0.249981,-0.102036,0,1,0,0,0,0.382683,0.92388
0,0.0253475,-0.249981,-0.0970359,0,1,0,0,0,0.382683,0.92388
0,0.0253365,-0.249981,-0.0920359,0,1,0,0,0,0.382683,0.92388
0,0.0253255,-0.249981,-0.0870359,0,1,0,0,0,0.382683,0.92388
0,0.0253145,-0.249981,-0.0820359,0,1,0,0,0,0.382683,0.92388
0,0.0253035,-0.249981,-0.0770359,0,1,0,0,0,0.382683,0.92388
0,0.0252925,-0.249981,-0.0720359,0,1,0,0,0,0.382683,0.92388
0,0.0252815,-0.249981,-0.067036,0,1,0,0,0,0.382683,0.92388
0,0.0252706,-0.249981,-0.062036,0,1,0,0,0,0.382683,0.92388
0,0.0252596,-0.249981,-0.057036,0,1,0,0,0,0.382683,0.92388
0,0.0252486,-0.249981,-0.052036,0,1,0,0,0,0.382683,0.92388
0,0.0252376,-0.249981,-0.047036,0,1,0,0,0,0.382683,0.92388
0,0.0252266,-0.249981,-0.042036,0,1,0,0,0,0.382683,0.92388
0,0.0252156,-0.249981,-0.037036,0,1,0,0,0,0.382683,0.92388
0,0.0252046,-0.249981,-0.032036,0,1,0,0,0,0.382683,0.92388
0,0.0251936,-0.249981,-0.0270361,0,1,0,0,0,0.382683,0.92388
0,0.0251826,-0.249981,-0.0220361,0,1,0,0,0,0.382683,0.92388
0,0.0251716,-0.249981,-0.0170361,0,1,0,0,0,0.382683,0.92388
0,0.0251606,-0.249981,-0.0120361,0,1,0,0,0,0.382683,0.92388
0,0.0251496,-0.249981,-0.00703611,0,1,0,0,0,0.382683,0.92388
0,0.0251387,-0.249981,-0.00203612,0,1,0,0,0,0.382683,0.92388
0,0.0251277,-0.249981,0.00296387,0,1,0,0,0,0.382683,0.92388
0,0.0251167,-0.249981,0.00796386,0,1,0,0,0,0.382683,0.92388
0,0.0251057,-0.249981,0.0129638,0,1,0,0,0,0.382683,0.92388
0,0.0250947,-0.249981,0.0179638,0,1,0,0,0,0.382683,0.92388
0,0.0250837,-0.249981,0.0229638,0,1,0,0,0,0.382683,0.92388
0,0.0250727,-0.24998,0.0279638,0,1,0,0,0,0.382683,0.92388
0,0.0250617,-0.24998,0.0329638,0,1,0,0,0,0.382683,0.92388
0,0.0250507,-0.24998,0.0379638,0,1,0,0,0,0.382683,0.92388
0,0.0250397,-0.24998,0.0429638,0,1,0,0,0,0.382683,0.92388
0,0.0250287,-0.24998,0.0479638,0,1,0,0,0,0.382683,0.92388
0,0.0250178,-0.24998,0.0529637,0,1,0,0,0,0.382683,0.92388
0,0.0250068,-0.24998,0.0579637,0,1,0,0,0,0.382683,0.92388
0,0.0249958,-0.24998,0.0629637,0,1,0,0,0,0.382683,0.92388
0,0.0249848,-0.24998,0.0679637,0,1,0,0,0,0.382683,0.92388
0,0.0249738,-0.24998,0.0729637,0,1,0,0,0,0.382683,0.92388
0,0.0249628,-0.24998,0.0779637,0,1,0,0,0,0.382683,0.92388
0,0.0249518,-0.24998,0.0829637,0,1,0,0,0,0.382683,0.92388
0,0.0249408,-0.24998,0.0879637,0,1,0,0,0,0.382683,0.92388
0,0.0249298,-0.24998,0.0929637,0,1,0,0,0,0.382683,0.92388
0,0.0249188,-0.24998,0.0979637,0,1,0,0,0,0.382683,0.92388
0,0.0249078,-0.24998,0.102964,0,1,0,0,0,0.382683,0.92388
0,0.0248968,-0.24998,0.107964,0,1,0,0,0,0.382683,0.92388
0,0.0248859,-0.24998,0.112964,0,1,0,0,0,0.382683,0.92388
0,0.0248749,-0.24998,0.117964,0,1,0,0,0,0.382683,0.92388
0,0.0248639,-0.24998,0.122964,0,1,0,0,0,0.382683,0.92388
0,0.0248529,-0.24998,0.127964,0,1,0,0,0,0.382683,0.92388
0,0.0248419,-0.24998,0.132964,0,1,0,0,0,0.382683,0.92388
0,0.0248309,-0.24998,0.137964,0,1,0,0,0,0.382683,0.92388
0,0.0248199,-0.24998,0.142964,0,1,0,0,0,0.382683,0.92388
0,0.0248089,-0.24998,0.147964,0,1,0,0,0,0.382683,0.92388
0,0.0247979,-0.24998,0.152964,0,1,0,0,0,0.382683,0.92388
0,0.0247869,-0.24998,0.157963,0,1,0,0,0,0.382683,0.92388
0,0.0247759,-0.24998,0.162963,0,1,0,0,0,0.382683,0.92388
0,0.0247649,-0.24998,0.167963,0,1,0,0,0,0.382683,0.92388
0,0.024754,-0.24998,0.172963,0,1,0,0,0,0.382683,0.92388
0,0.024743,-0.24998,0.177963,0,1,0,0,0,0.382683,0.92388
0,0.024732,-0.24998,0.182963,0,1,0,0,0,0.382683,0.92388
0,0.024721,-0.24998,0.187963,0,1,0,0,0,0.382683,0.92388
