2,1.2,0
1.96962,1.2,0.347296
1.87938,1.2,0.68404
1.73205,1.2,1
1.53209,1.2,1.28558
1.28558,1.2,1.53209
1,1.2,1.73205
0.68404,1.2,1.87938
0.347296,1.2,1.96962
0,1.2,2
-0.347296,1.2,1.96962
-0.68404,1.2,1.87938
-1,1.2,1.73205
-1.28558,1.2,1.53209
-1.53209,1.2,1.28558
-1.73205,1.2,1
-1.87938,1.2,0.68404
-1.96962,1.2,0.347296
-2,1.2,0
-1.96962,1.2,-0.347296
-1.87938,1.2,-0.68404
-1.73205,1.2,-1
-1.53209,1.2,-1.28558
-1.28558,1.2,-1.53209
-1,1.2,-1.73205
-0.68404,1.2,-1.87938
-0.347296,1.2,-1.96962
-0,1.2,-2
0.347296,1.2,-1.96962
0.68404,1.2,-1.87938
1,1.2,-1.73205
1.28558,1.2,-1.53209
1.53209,1.2,-1.28558
1.73205,1.2,-1
1.87938,1.2,-0.68404
1.96962,1.2,-0.347296
