weld_id,x,y,z,nx,ny,nz,ox,oy,oz,ow
0,-0.0248056,-0.239014,0.299778,0,0,-1,0,0.382683,0,0.92388
0,-0.0248045,-0.234009,0.29978,0,0,-1,0,0.382683,0,0.92388
0,-0.0248034,-0.229004,0.299783,0,0,-1,0,0.382683,0,0.92388
0,-0.0248023,-0.223999,0.299785,0,0,-1,0,0.382683,0,0.92388
0,-0.0248012,-0.218994,0.299787,0,0,-1,0,0.382683,0,0.92388
0,-0.0248,-0.213989,0.29979,0,0,-1,0,0.382683,0,0.92388
0,-0.0247989,-0.208984,0.299792,0,0,-1,0,0.382683,0,0.92388
0,-0.0247978,-0.203979,0.299795,0,0,-1,0,0.382683,0,0.92388
0,-0.0247967,-0.198975,0.299797,0,0,-1,0,0.382683,0,0.92388
0,-0.0247956,-0.19397,0.299799,0,0,-1,0,0.382683,0,0.92388
0,-0.0247945,-0.188965,0.299802,0,0,-1,0,0.382683,0,0.92388
0,-0.0247933,-0.18396,0.299804,0,0,-1,0,0.382683,0,0.92388
0,-0.0247922,-0.178955,0.299807,0,0,-1,0,0.382683,0,0.92388
0,-0.0247911,-0.17395,0.299809,0,0,-1,0,0.382683,0,0.92388
0,-0.02479,-0.168945,0.299811,0,0,-1,0,0.382683,0,0.92388
0,-0.0247889,-0.16394,0.299814,0,0,-1,0,0.382683,0,0.92388
0,-0.0247878,-0.158936,0.299816,0,0,-1,0,0.382683,0,0.92388
0,-0.0247866,-0.153931,0.299819,0,0,-1,0,0.382683,0,0.92388
0,-0.0247855,-0.148926,0.299821,0,0,-1,0,0.382683,0,0.92388
0,-0.0247844,-0.143921,0.299823,0,0,-1,0,0.382683,0,0.92388
0,-0.0247833,-0.138916,0.299826,0,0,-1,0,0.382683,0,0.92388
0,-0.0247822,-0.133911,0.299828,0,0,-1,0,0.382683,0,0.92388
0,-0.0247811,-0.128906,0.299831,0,0,-1,0,0.382683,0,0.92388
0,-0.0247799,-0.123901,0.299833,0,0,-1,0,0.382683,0,0.92388
0,-0.0247788,-0.118896,0.299835,0,0,-1,0,0.382683,0,0.92388
0,-0.0247777,-0.113892,0.299838,0,0,-1,0,0.382683,0,0.92388
0,-0.0247766,-0.108887,0.29984,0,0,-1,0,0.382683,0,0.92388
0,-0.0247755,-0.103882,0.299842,0,0,-1,0,0.382683,0,0.92388
0,-0.0247744,-0.098877,0.299845,0,0,-1,0,0.382683,0,0.92388
